BMW G80 M3 Competition Parts Pricing Comparison,,,M PERFORMANCE PARTS,,,
Vehicle,BMW 3 Series Sedan G80 M3 Competition,,,,,
VIN,WBS42AY000FT45458,,,,,
Date prepared,2026-06-02,,,,,

Estimate Item,OEM Description,BMW New (AUD),Our Price (AUD),Saving,Category,BMW OEM #
FRONT BUMPER BAR,"Panel, bumper, primed, front (PDC/PMA)",1757.57,878.78,878.79,Body/bumper,51 11 7884096
FRONT BUMPER BAR BADGE — BMW,Badge with adhesive film 74mm,50.90,25.45,25.45,Trim,51 14 8132375
FRONT BUMPER BAR GUIDE — O/S (LOWER),Guide bumper right bottom,39.93,19.96,19.97,Bumper hardware,51 11 1
FRONT BUMPER BAR GUIDE — N/S (LOWER),Guide bumper left bottom,39.93,19.96,19.97,Bumper hardware,51 11 1
FRONT BUMPER BAR GUIDE — O/S (TOP),Guide bumper right top,39.93,19.96,19.97,Bumper hardware,51 11 1
FRONT BUMPER BAR GUIDE — N/S (TOP),Guide bumper left top,39.93,19.96,19.97,Bumper hardware,51 11 1
FRONT BUMPER BAR INNER SKELETON — O/S,"Mount, bumper right",69.04,34.52,34.52,Bumper hardware,41 00 1
FRONT BUMPER BAR INNER SKELETON — N/S,"Mount, bumper left",69.04,34.52,34.52,Bumper hardware,41 00 1
FRONT BUMPER FRAME AIR INLET — O/S,Frame air inlet right (M-specific),3142.34,1571.17,1571.17,Bumper grille,51 11 8074774
FRONT BUMPER FRAME AIR INLET — N/S,Frame air inlet left (M-specific),3142.34,1571.17,1571.17,Bumper grille,51 11 8074773
FRONT BUMPER BAR MAIN GRILLE — INSERT O/S,Grill front (M Competition),555.54,277.77,277.77,Bumper grille,51 13 8081144
FRONT BUMPER BAR MAIN GRILLE — INSERT N/S,Grill front (M Competition),555.54,277.77,277.77,Bumper grille,51 13 8081143
FRONT BUMPER BAR MAIN GRILLE — ORNAMENTAL SURROUND,Front ornamental grille surround,1685.40,842.70,842.70,Bumper grille,51 13 8087848
FRONT BUMPER PTS SENSORS × 6,PDC sensor units × 6 (EPC 66.20),870.00,435.00,435.00,Electronics/PDC,TBC (EPC 66.20)
FRONT BUMPER PTS SENSORS WIRING,"Set of cables, front bumper",382.25,191.13,191.12,Electronics/PDC,61 12 5A02390
FRONT BUMPER MAIN CAMERA,Front ICAM / surround view camera,1250.00,625.00,625.00,Camera/driver assist,TBC (EPC 61.67)
FRONT BUMPER NUMBER PLATE BASE,Number plate carrier front,138.00,69.00,69.00,Trim,51 11 8074796
FRONT BUMPER RADAR (FRR),Front radar sensor long range,8277.81,4138.90,4138.91,Radar/driver assist,66 31 5A589B4
FRONT RADAR BRACKET,"Mounting, headlight/radar area",207.56,103.78,103.78,Radar/driver assist,TBC (EPC 66.31)
FRONT BUMPER BAR MAIN REIO,"Carrier, bumper front",871.62,435.81,435.81,Crash structure,51 11 8071640
FRONT BUMPER BAR MAIN REIO FOAM,Energy absorber / shock absorber front,58.28,29.14,29.14,Crash structure,51 11 8072756
FRONT BUMPER BAR LOWER REIO,"Carrier, bumper, front bottom",452.49,226.25,226.24,Crash structure,51 11 8071602
FRONT BUMPER BAR LOWER REIO FEET — O/S,"Mount, bumper right",69.04,34.52,34.52,Crash structure,41 00 9630050
FRONT BUMPER BAR LOWER REIO FEET — N/S,"Mount, bumper left",69.04,34.52,34.52,Crash structure,41 00 9630049
BONNET SHELL,Aluminium engine hood,2324.28,1162.14,1162.14,Panel,41 61 8082029
BONNET LINING,Underbonnet screen,509.82,254.91,254.91,Trim/headliner,51 75 8074612
BONNET HINGE — O/S,Right engine hood hinge,275.88,137.94,137.94,Panel hardware,41 00 8494432
BONNET HINGE STRUT — O/S,Gas pressure spring bonnet active (590N),76.50,38.25,38.25,Panel hardware,51 23 9463397
BONNET ACTUATOR — O/S,Active hood pyrotechnic actuator RH,420.00,210.00,210.00,Pedestrian protection,TBC (EPC 51.23)
BONNET HINGE — N/S,Left engine hood hinge,275.88,137.94,137.94,Panel hardware,41 00 8494431
BONNET HINGE STRUT — N/S,Gas pressure spring bonnet passive,67.20,33.60,33.60,Panel hardware,51 23 9463396
BONNET ACTUATOR — N/S,Active hood pyrotechnic actuator LH,420.00,210.00,210.00,Pedestrian protection,TBC (EPC 51.23)
O/S HEADLAMP,"Headlight, laser light, right (RHD)",6230.15,3115.07,3115.08,Lighting,63 11 8084892
N/S HEADLAMP,"Headlight, laser light, left  (RHD)",6230.15,3115.07,3115.08,Lighting,63 11 8084891
ENGINE OIL COOLER,Engine-oil cooler (G80-specific),1707.07,853.53,853.54,Cooling,17 21 5A4DF50
RADIATOR #1,Radiator (main coolant),995.40,497.70,497.70,Cooling,17 11 8095283
RADIATOR #2 (EXTERNAL),External/remote radiator,1106.00,553.00,553.00,Cooling,17 11 8095285
CONDENSER — A/C,Condenser air conditioning with drier,1126.68,563.34,563.34,Cooling,64 50 8088925
O/S/F GUARD,"Side panel, front right",1340.97,670.49,670.48,Panel,41 00 8082028
O/S/F GUARD SPLASH TRAY,Splash wall,804.53,402.26,402.27,Wheel arch liner,41 00 7486651
O/S DOOR,"Door, front, right",1851.23,925.62,925.61,Panel,41 51 7482276
O/S DOOR HINGE — UPPER,"Door hinge, top right",51.95,25.98,25.97,Door hardware,41 51 7420094
O/S DOOR HINGE — LOWER,"Door hinge, bottom right",51.95,25.98,25.97,Door hardware,41 51 7420090
O/S DOOR CHECK STRAP,Front door brake,128.75,64.38,64.37,Door hardware,51 21 7432184
O/S DOOR SEAL (ON DOOR),Door perimeter weather seal,260.00,130.00,130.00,Door hardware,TBC (EPC 51.22)
O/S DOOR TRIM RETAINERS,Trim retainer clips allowance,80.00,40.00,40.00,Clips/fasteners,N/A
O/S DOOR GLASS,"Side window glass, door, front right",724.58,362.29,362.29,Glass,51 33 7466962
O/S REAR DOOR,"Door, rear right (inspect — crease extends)",1864.47,932.24,932.23,Panel,41 51 7482278
O/S REAR DOOR GLASS,"Side window, door, rear right",538.74,269.37,269.37,Glass,51 35 7497106
O/S REAR DOOR BRAKE,Rear door brake,128.75,64.38,64.37,Door hardware,51 22 7432206
O/S DOOR MIRROR,"Outside mirror heated with memory, right",1327.89,663.95,663.94,Mirror,51 16 8084326
O/S SILL PANEL MOULD,"Door sill cover, primed right",768.05,384.02,384.03,Side trim,51 77 8084238
O/S SILL PANEL MOULD INSERT,Insert side sill right,480.67,240.34,240.33,Side trim,51 77 8084408
O/S SIDE CURTAIN AIR BAG,"Side curtain airbag, right (ITS)",1050.00,525.00,525.00,SRS,TBC (EPC 72.12)
N/S SIDE CURTAIN AIR BAG,"Side curtain airbag, left (ITS)",1050.00,525.00,525.00,SRS,TBC (EPC 72.12)
O/S/F SEAT SIDE AIR BAG,"Side airbag, front right seat",619.71,309.86,309.85,SRS,72 12 7441490
N/S/F SEAT SIDE AIR BAG,"Side airbag, front left seat",619.71,309.86,309.85,SRS,72 12 7441489
O/S KNEE AIRBAG,"Knee protection airbag module, right",796.71,398.36,398.35,SRS,72 12 6804048
N/S KNEE AIRBAG,"Knee protection airbag module, left",796.71,398.36,398.35,SRS,72 12 6804047
SRS CONTROL UNIT AIRBAG,Control unit airbag (ACM),1311.89,655.95,655.94,SRS,65 77 5A1FC42
STEERING COLUMN SWITCH CLUSTER,Steering column switch cluster (clock spring),1369.37,684.68,684.69,SRS,61 31 5A819A1
DRIVER AIRBAG MODULE,"Airbag module, driver's side",1962.02,981.01,981.01,SRS,32 30 5A250D2
PASSENGER AIRBAG UNIT,"Airbag unit, passenger's side",1770.51,885.25,885.26,SRS,72 12 6804063
M SPORTS STEERING WHEEL,M Sports steering wheel leather,2553.18,1276.59,1276.59,SRS,32 30 9882677
O/S/F SRS SEAT BELT ASSEMBLY,"Upper seat belt REMA, front right",940.31,470.15,470.16,SRS restraint,72 11 9460971
O/S/F SRS BUCKLE ASSEMBLY,Front right seat belt buckle/pretensioner,360.00,180.00,180.00,SRS restraint,TBC (EPC 72.11)
N/S/F SRS SEAT BELT ASSEMBLY,"Upper seat belt REMA, front left",940.31,470.15,470.16,SRS restraint,72 11 9460971
N/S/F SRS BUCKLE ASSEMBLY,Front left seat belt buckle/pretensioner,360.00,180.00,180.00,SRS restraint,TBC (EPC 72.11)
O/S/R SRS SEAT BELT ASSEMBLY,"Upper belt, rear right (M) — full SRS assembly (inspect)",760.00,380.00,380.00,SRS restraint,TBC (EPC 72.11)
N/S/R SRS SEAT BELT ASSEMBLY,"Upper belt, rear left (M) — full SRS assembly (inspect)",760.00,380.00,380.00,SRS restraint,TBC (EPC 72.11)

GRAND TOTAL,,74021.49,37010.75,37010.74,,
