Estimate Line Item,Category,OEM Part Number,OEM Description,DB Deal Price (USD),AI Quote USD,Variance (DB vs AI),RECOMMENDED USD,Recommended AUD inc GST,Source Used,Notes / Questions
FRONT BUMPER BAR,Body/bumper,51 11 8084590,"Panel, bumper, primed, front (PDC/PMA)",~755.08,1450.00,N/A (no DB price),1450.00,2783.28,AI estimate,"DB only has EUR list 699.15 (~$755 USD). AI=$1,450. QUESTION: Does the estimate treat the bumper as raw shell only or full painted assembly? The AI price may bundle painting. Use DB EUR-derived ~$755 as shell price."
FRONT BUMPER BAR BADGE - BMW,Trim,51 11 7886503,Badge with adhesive film 74mm,50.90,65.00,14.10,50.90,97.70,DB (ETK/dealer),DB=$50.90 deal. AI=$65. DB more accurate — use DB.
FRONT BUMPER BAR GUIDE - O/S,Bumper hardware,51 11 8069418,Bumper guide right top,39.93,95.00,55.07,39.93,76.65,DB (ETK/dealer),DB=$39.93 each. AI=$95. DB is real dealer price — use DB. AI significantly overstated.
FRONT BUMPER BAR GUIDE - O/S (lower),Bumper hardware,51 11 8069420,Bumper guide right bottom,39.93,95.00,55.07,39.93,76.65,DB (ETK/dealer),DB=$39.93. AI=$95. Use DB.
FRONT BUMPER BAR GUIDE - N/S,Bumper hardware,51 11 8069417,Guide bumper left top,39.93,95.00,55.07,39.93,76.65,DB (ETK/dealer),DB=$39.93. AI=$95. Use DB.
FRONT BUMPER BAR GUIDE - N/S (lower),Bumper hardware,51 11 8069419,Guide bumper left bottom,39.93,95.00,55.07,39.93,76.65,DB (ETK/dealer),DB=$39.93. AI=$95. Use DB.
FRONT BUMPER BAR INNER SKELETON - O/S,Bumper hardware,41 00 7413086,"Mount, bumper right",69.04,180.00,110.96,69.04,132.52,DB (ETK/dealer),DB=$69.04. AI=$180. Use DB — AI overstated.
FRONT BUMPER BAR INNER SKELETON - N/S,Bumper hardware,41 00 7413085,"Mount, bumper left",69.04,180.00,110.96,69.04,132.52,DB (ETK/dealer),DB=$69.04. AI=$180. Use DB.
FRONT BUMPER BAR MAIN GRILLE,Bumper grille,51 13 8081141,Grill front (COMPETITION),250.90,850.00,599.10,250.90,481.60,DB (ETK/dealer),"MAJOR GAP. DB=$250.90 for grille insert only. AI=$850 likely covers full grille surround assembly inc ornamental grille surround. QUESTION: Does this include the outer kidney frame? If so, need to add 51138085968 ornamental grille ($755) on top of insert."
FRONT BUMPER BAR PTS SENSORS x 6,Electronics/PDC,51 11 8084591,"Set, mounting, PDC/PMA sensor, front (mounting only)",49.90,870.00,820.10,49.90,95.78,DB (ETK/dealer),DB=$49.90 for mounting SET only — no actual sensor price in DB. AI=$870 total ($145 x6). AI price for sensors is more complete. QUESTION: Are sensors existing (undamaged) or all 6 need replacing? Sensor units need a separate part query.
