BMW G80 M3 Competition Parts Pricing Comparison,,,M PERFORMANCE PARTS,,
Vehicle,BMW 3 Series Sedan G80 M3 Competition,,,,
VIN,WBS42AY000FT45458,,,,
Date prepared,2/6/2026,,,,
,,,,,
OEM Description,BMW New (AUD),Our Price (AUD),Saving,Category,BMW OEM #
"Panel, bumper, primed, front (PDC/PMA)",1757.57,878.78,878.79,Body/bumper,51 11 7884096
Badge with adhesive film 74mm,50.9,25.45,25.45,Trim,51 14 8132375
Guide bumper right bottom,39.93,19.96,19.97,Bumper hardware,51 11 1
Guide bumper left bottom,39.93,19.96,19.97,Bumper hardware,51 11 1
Guide bumper right top,39.93,19.96,19.97,Bumper hardware,51 11 1
Guide bumper left top,39.93,19.96,19.97,Bumper hardware,51 11 1
"Mount, bumper right",69.04,34.52,34.52,Bumper hardware,41 00 1
"Mount, bumper left",69.04,34.52,34.52,Bumper hardware,41 00 1
Frame air inlet right (M-specific),3142.34,1571.17,1571.17,Bumper grille,51 11 8074774
Frame air inlet left (M-specific),3142.34,1571.17,1571.17,Bumper grille,51 11 8074773
Grill front (M Competition),555.54,277.77,277.77,Bumper grille,51 13 8081144
Grill front (M Competition),555.54,277.77,277.77,Bumper grille,51 13 8081143
Front ornamental grille surround,1685.4,842.7,842.7,Bumper grille,51 13 8087848
PDC sensor units × 6 (EPC 66.20),870,435,435,Electronics/PDC,TBC (EPC 66.20)
"Set of cables, front bumper",382.25,191.13,191.12,Electronics/PDC,61 12 5A02390
Front ICAM / surround view camera,1250,625,625,Camera/driver assist,TBC (EPC 61.67)
Number plate carrier front,138,69,69,Trim,51 11 8074796
Front radar sensor long range,8277.81,1638.9,4138.91,Radar/driver assist,66 31 5A589B4
"Mounting, headlight/radar area",207.56,103.78,103.78,Radar/driver assist,TBC (EPC 66.31)
"Carrier, bumper front",871.62,435.81,435.81,Crash structure,51 11 8071640
Energy absorber / shock absorber front,58.28,29.14,29.14,Crash structure,51 11 8072756
"Carrier, bumper, front bottom",452.49,226.25,226.24,Crash structure,51 11 8071602
"Mount, bumper right",69.04,34.52,34.52,Crash structure,41 00 9630050
"Mount, bumper left",69.04,34.52,34.52,Crash structure,41 00 9630049
Aluminium engine hood,2324.28,1162.14,1162.14,Panel,41 61 8082029
Underbonnet screen,509.82,254.91,254.91,Trim/headliner,51 75 8074612
Right engine hood hinge,275.88,137.94,137.94,Panel hardware,41 00 8494432
Gas pressure spring bonnet active (590N),76.5,38.25,38.25,Panel hardware,51 23 9463397
Active hood pyrotechnic actuator RH,420,210,210,Pedestrian protection,TBC (EPC 51.23)
Left engine hood hinge,275.88,137.94,137.94,Panel hardware,41 00 8494431
Gas pressure spring bonnet passive,67.2,33.6,33.6,Panel hardware,51 23 9463396
Active hood pyrotechnic actuator LH,420,210,210,Pedestrian protection,TBC (EPC 51.23)
"Headlight, laser light, right (RHD)",6230.15,3115.07,3115.08,Lighting,63 11 8084892
"Headlight, laser light, left  (RHD)",6230.15,3115.07,3115.08,Lighting,63 11 8084891
Engine-oil cooler (G80-specific),1707.07,853.53,853.54,Cooling,17 21 5A4DF50
Radiator (main coolant),995.4,497.7,497.7,Cooling,17 11 8095283
External/remote radiator,1106,553,553,Cooling,17 11 8095285
Condenser air conditioning with drier,1126.68,563.34,563.34,Cooling,64 50 8088925
"Side panel, front right",1340.97,670.49,670.48,Panel,41 00 8082028
Splash wall,804.53,402.26,402.27,Wheel arch liner,41 00 7486651
"Door, front, right",1851.23,925.62,925.61,Panel,41 51 7482276
"Door hinge, top right",51.95,25.98,25.97,Door hardware,41 51 7420094
"Door hinge, bottom right",51.95,25.98,25.97,Door hardware,41 51 7420090
Front door brake,128.75,64.38,64.37,Door hardware,51 21 7432184
Door perimeter weather seal,260,130,130,Door hardware,TBC (EPC 51.22)
Trim retainer clips allowance,80,40,40,Clips/fasteners,N/A
"Side window glass, door, front right",724.58,362.29,362.29,Glass,51 33 7466962
"Door, rear right (inspect — crease extends)",1864.47,932.24,932.23,Panel,41 51 7482278
"Side window, door, rear right",538.74,269.37,269.37,Glass,51 35 7497106
Rear door brake,128.75,64.38,64.37,Door hardware,51 22 7432206
"Outside mirror heated with memory, right",1327.89,663.95,663.94,Mirror,51 16 8084326
"Door sill cover, primed right",768.05,384.02,384.03,Side trim,51 77 8084238
Insert side sill right,480.67,240.34,240.33,Side trim,51 77 8084408
"Side curtain airbag, right (ITS)",1050,525,525,SRS,TBC (EPC 72.12)
"Side curtain airbag, left (ITS)",1050,525,525,SRS,TBC (EPC 72.12)
"Side airbag, front right seat",619.71,309.86,309.85,SRS,72 12 7441490
"Side airbag, front left seat",619.71,309.86,309.85,SRS,72 12 7441489
"Knee protection airbag module, right",796.71,398.36,398.35,SRS,72 12 6804048
"Knee protection airbag module, left",796.71,398.36,398.35,SRS,72 12 6804047
Control unit airbag (ACM),1311.89,655.95,655.94,SRS,65 77 5A1FC42
Steering column switch cluster (clock spring),1369.37,684.68,684.69,SRS,61 31 5A819A1
"Airbag module, driver's side",1962.02,981.01,981.01,SRS,32 30 5A250D2
"Airbag unit, passenger's side",1770.51,885.25,885.26,SRS,72 12 6804063
M Sports steering wheel leather,2553.18,1276.59,1276.59,SRS,32 30 9882677
"Upper seat belt REMA, front right",940.31,470.15,470.16,SRS restraint,72 11 9460971
Front right seat belt buckle/pretensioner,360,180,180,SRS restraint,TBC (EPC 72.11)
"Upper seat belt REMA, front left",940.31,470.15,470.16,SRS restraint,72 11 9460971
Front left seat belt buckle/pretensioner,360,180,180,SRS restraint,TBC (EPC 72.11)
"Upper belt, rear right (M) — full SRS assembly (inspect)",760,380,380,SRS restraint,TBC (EPC 72.11)
"Upper belt, rear left (M) — full SRS assembly (inspect)",760,380,380,SRS restraint,TBC (EPC 72.11)
,,,,,
GRAND TOTAL,74021.49,34510.75,37010.74,,
